System,Model,Group,ECE,LCS,PQ,MA,ER,ID,FC,EU,AB,FINAL_total
Lorenz,DE,A,0.1216,0.3589,0.9093,0.6795,0.8784,0.8014,0.6145,1.0,0.6,0.7807
Lorenz,SnapshotEns,A,0.0381,0.8077,0.7939,0.9039,0.9619,0.9251,0.1224,1.0,0.6,0.7814
Lorenz,BayesLSTM,B,0.3305,0.4576,0.7739,0.7288,0.6695,0.8811,0.6961,1.0,0.6,0.7601
Lorenz,EDL,B,0.3346,0.9223,0.3383,0.9611,0.6654,0.5894,0.0,0.5254,0.6,0.5632
Lorenz,MDN,B,0.2855,0.6491,0.8217,0.8245,0.7145,0.997,0.4985,1.0,0.6,0.7871
Lorenz,DKL,C,0.2071,N/A,0.8522,0.5,0.7929,0.8577,0.922,1.0,0.6,0.7735
Lorenz,SNGP,C,0.2312,0.9979,0.0,0.999,0.7688,0.6122,0.0,1.0,0.6,0.5937
Lorenz,ConformalNN,D,0.1578,0.1477,0.8224,0.5738,0.8422,0.9523,0.5599,1.0,0.6,0.7588
Lorenz,ACI,D,0.3398,0.8519,0.8534,0.9259,0.6602,0.8998,0.4692,1.0,0.6,0.7805
Lorenz,ESN,E,0.3562,0.881,0.9374,0.9405,0.6438,0.0,0.4877,1.0,0.6,0.6313
Lorenz,Mamba-Lite,E,0.418,0.9561,0.4911,0.9781,0.582,0.0,0.4104,1.0,0.6,0.5621
Lorenz,TFT-Lite,F,0.3552,0.2401,0.7077,0.6201,0.6448,0.9076,0.7063,1.0,0.6,0.7296
Lorenz,PatchTST-Lite,F,0.4402,0.969,0.6041,0.9845,0.5598,0.0,0.0,1.0,0.6,0.511
Lorenz,NormFlowEns,G,0.3512,0.3232,0.7958,0.6616,0.6488,0.8342,0.7688,1.0,0.6,0.7463
Lorenz,SelectivePredictor,H,0.4502,0.9959,0.7832,0.998,0.5498,0.0,0.5174,1.0,0.8461,0.6234
Rössler,DE,A,0.1727,0.3101,0.9048,0.655,0.8273,0.9933,0.5403,1.0,0.6,0.788
Rössler,SnapshotEns,A,0.1,0.6788,0.8373,0.8394,0.9,0.981,0.4143,1.0,0.6,0.8139
Rössler,BayesLSTM,B,0.3285,0.2024,0.8189,0.6012,0.6715,0.9709,0.7864,1.0,0.6,0.7675
Rössler,EDL,B,0.4255,0.7343,0.6213,0.8671,0.5745,0.6558,0.0786,0.2089,0.6,0.5568
Rössler,MDN,B,0.3266,0.5474,0.8465,0.7737,0.6734,0.9912,0.5537,1.0,0.6,0.7779
Rössler,DKL,C,0.0424,N/A,0.9686,0.5,0.9576,0.601,0.8962,1.0,0.6,0.7703
Rössler,SNGP,C,0.3295,0.9984,0.1323,0.9992,0.6705,0.7017,0.0,1.0,0.6,0.6061
Rössler,ConformalNN,D,0.1311,0.8193,0.8391,0.9096,0.8689,0.9361,0.4381,1.0,0.6,0.8188
Rössler,ACI,D,0.1353,0.7272,0.8508,0.8636,0.8647,0.9514,0.4769,1.0,0.6,0.8178
Rössler,ESN,E,0.3276,0.9508,0.9289,0.9754,0.6724,0.4143,0.5218,1.0,0.6,0.7234
Rössler,Mamba-Lite,E,0.4001,-0.5765,0.6176,0.2118,0.5999,0.0,0.4955,1.0,0.6,0.425
Rössler,TFT-Lite,F,0.3361,0.3902,0.7842,0.6951,0.6639,0.9756,0.7012,1.0,0.6,0.7706
Rössler,PatchTST-Lite,F,0.4642,0.8263,0.8321,0.9131,0.5358,0.0,0.3567,1.0,0.6,0.5714
Rössler,NormFlowEns,G,0.3353,-0.0211,0.8347,0.4894,0.6647,0.8971,0.7316,1.0,0.6,0.722
Rössler,SelectivePredictor,H,0.4607,0.9365,0.8804,0.9682,0.5393,0.0,0.5104,1.0,0.9475,0.6304
Van der Pol,DE,A,0.2325,N/A,0.9768,0.5,0.7675,0.9879,0.9693,1.0,0.6,0.8139
Van der Pol,SnapshotEns,A,0.14,N/A,0.9575,0.5,0.86,0.9674,0.933,1.0,0.6,0.821
Van der Pol,BayesLSTM,B,0.3168,N/A,0.964,0.5,0.6832,0.7662,0.9639,1.0,0.6,0.7548
Van der Pol,EDL,B,0.4563,N/A,0.9555,0.5,0.5437,0.8932,0.8234,0.1291,0.6,0.658
Van der Pol,MDN,B,0.2768,N/A,0.952,0.5,0.7232,0.8097,0.846,1.0,0.6,0.7515
Van der Pol,DKL,C,0.2982,N/A,0.9799,0.5,0.7018,0.6337,0.979,1.0,0.6,0.7389
Van der Pol,SNGP,C,0.4089,N/A,0.8491,0.5,0.5911,0.9475,0.8397,1.0,0.6,0.7366
Van der Pol,ConformalNN,D,0.2362,N/A,0.9702,0.5,0.7638,0.6363,0.9578,1.0,0.6,0.7474
Van der Pol,ACI,D,0.2705,N/A,0.9675,0.5,0.7295,0.6354,0.966,1.0,0.6,0.7413
Van der Pol,ESN,E,0.3829,N/A,0.9701,0.5,0.6171,0.0,0.9671,1.0,0.6,0.6049
Van der Pol,Mamba-Lite,E,0.3762,N/A,0.941,0.5,0.6238,0.0,0.9231,1.0,0.6,0.5962
Van der Pol,TFT-Lite,F,0.3138,N/A,0.9623,0.5,0.6862,0.7372,0.963,1.0,0.6,0.7499
Van der Pol,PatchTST-Lite,F,0.4217,N/A,0.9566,0.5,0.5783,0.0,0.9308,1.0,0.6,0.5901
Van der Pol,NormFlowEns,G,0.3323,N/A,0.9477,0.5,0.6677,0.8711,0.9457,1.0,0.6,0.7659
Van der Pol,SelectivePredictor,H,0.4516,N/A,0.9537,0.5,0.5484,0.0,0.9477,1.0,0.9559,0.6041
Halvorsen,DE,A,0.1959,0.8718,0.9052,0.9359,0.8041,0.9044,0.593,1.0,0.6,0.8371
Halvorsen,SnapshotEns,A,0.0666,0.9653,0.8039,0.9826,0.9334,0.9853,0.342,1.0,0.6,0.838
Halvorsen,BayesLSTM,B,0.2937,0.608,0.8706,0.804,0.7063,0.9939,0.7739,1.0,0.6,0.8276
Halvorsen,EDL,B,0.3864,0.717,0.7816,0.8585,0.6136,0.6764,0.0,0.1334,0.6,0.5678
Halvorsen,MDN,B,0.1513,0.9114,0.9,0.9557,0.8487,0.7612,0.5216,1.0,0.6,0.8133
Halvorsen,DKL,C,0.0401,N/A,0.9683,0.5,0.9599,0.6234,0.8107,1.0,0.6,0.762
Halvorsen,SNGP,C,0.3165,0.998,0.3865,0.999,0.6835,0.741,0.0,1.0,0.6,0.6462
Halvorsen,ConformalNN,D,0.1689,0.9168,0.8557,0.9584,0.8311,0.9474,0.4679,1.0,0.6,0.8305
Halvorsen,ACI,D,0.2312,0.8633,0.8486,0.9316,0.7688,0.9564,0.5316,1.0,0.6,0.8224
Halvorsen,ESN,E,0.3658,0.9635,0.8986,0.9818,0.6342,0.0,0.7307,1.0,0.6,0.6703
Halvorsen,Mamba-Lite,E,0.4115,0.964,0.7231,0.982,0.5885,0.0,0.4441,1.0,0.6,0.5971
Halvorsen,TFT-Lite,F,0.2491,0.7772,0.808,0.8886,0.7509,0.9867,0.597,1.0,0.6,0.8198
Halvorsen,PatchTST-Lite,F,0.4341,0.9942,0.7662,0.9971,0.5659,0.0,0.2895,1.0,0.6,0.5779
Halvorsen,NormFlowEns,G,0.2781,0.9726,0.8432,0.9863,0.7219,0.9145,0.5562,1.0,0.6,0.8206
Halvorsen,SelectivePredictor,H,0.4594,0.9818,0.8258,0.9909,0.5406,0.0,0.4308,1.0,0.9535,0.6175
